GSM813064	GSM813065	GSM813066	GSM813067	GSM814496	GSM814497
8.4004	8.3865	8.4223	6.9725	11.0851	6.9231
2.754	2.6096	1.9327	2.0494	2.5354	2.3813
142.5908	138.3632	132.0995	143.244	161.5104	146.5649
0.4096	0.43	0.4926	-0.0684	0.5353	0.4138
318.1074	311.791	316.5642	271.4792	315.2003	233.6752
2.9388	2.8009	3.1859	3.0224	2.7413	3.0162
1.0246	0.9484	0.5859	0.6709	0.0977	0.821
59.2695	50.5836	54.175	42.0264	43.1669	43.6179
110.5823	101.4741	105.2877	86.311	83.0961	79.5767
0.2152	0.5868	0.287	0.2426	0.4135	0.7516
26.2849	23.6933	19.5314	17.2523	19.9366	16.6847
3.1915	2.753	3.2149	2.5316	2.361	2.8729
0.1561	0.678	0.4465	0.1767	0.4353	0.1637
3.9784	4.0008	4.1644	4.7697	4.6847	4.826
1.749	1.5898	1.9695	1.6923	1.7142	1.483
3.5535	4.171	3.7367	2.9649	3.9742	3.202
12.9914	14.8661	14.0199	9.2703	15.7633	10.1732
17.8498	18.9059	16.5924	13.1729	17.6129	12.6371
1.8559	1.2951	1.5136	1.6974	1.981	1.3225
0.2025	0.2303	0.698	0.4443	0.5224	0.3403
0.5628	1.3983	1.0884	0.4532	0.7403	1.0897
30.2828	33.3272	29.1202	26.9922	30.0292	25.5905
0.5035	0.6184	0.4598	0.472	0.4507	0.5092
0.6539	0.5759	0.1746	0.1018	0.4537	0.2094
10.8268	10.3235	11.6546	10.2317	10.6877	9.6969
21.3664	18.1984	19.1207	15.3113	16.2437	15.3265
6.539	5.6644	4.9279	4.1512	5.4544	3.6063
330.5642	269.5726	287.267	246.4057	281.9312	239.7498
0.3963	0.3632	0.3075	0.2313	0.0331	0.4301
8.1869	8.1049	7.417	6.226	6.8698	5.4295
4.3065	3.6254	5.1982	3.7515	3.4079	3.463
2.2537	2.0492	1.9506	1.7971	2.194	1.5847
17.9107	17.799	18.7695	14.0702	14.068	14.5094
6.2509	6.3187	4.9442	3.854	6.551	2.9132
3.5662	3.2532	4.3419	3.5221	4.3709	3.4496
7.9294	7.7614	5.8052	4.7439	6.5429	5.6988
0.6366	0.5367	0.2965	0.3261	0.3184	0.1573
5.074	4.8968	3.8866	5.6613	6.0339	7.0689
20.1358	20.7238	28.2351	31.5885	29.213	34.5844
1.4071	1.8461	1.5012	1.2523	2.0186	1.2576
0.3898	0.2999	0.2037	0.2523	0.4383	0.1766
77.1241	79.3788	64.661	64.428	60.6648	63.8212
3.1261	2.812	2.6847	2.5855	2.9061	2.3614
0.1776	0.3273	0.1624	0.357	0.4391	0.5568
0.3669	0.4746	0.157	0.4739	0.5846	0.7259
1.1961	0.9738	1.1706	1.6441	0.8332	0.6307
14.3773	15.9644	14.4067	11.5549	14.7859	10.5117
8.3422	6.5524	6.9023	6.6618	6.4022	6.7022
1.2888	1.1563	1.2423	1.0338	1.0189	0.4871
0.4532	0.5544	0.4899	0.4766	0.1567	0.2904
5.3764	4.3527	5.6219	4.2545	3.8937	4.0266
3.2223	3.4766	2.9205	2.1651	2.4729	2.6282
2.1789	2.0475	2.223	2.1733	2.1309	2.1191
4.7211	4.4573	4.3364	4.9282	5.6048	3.7097
6.9534	6.4764	6.0146	4.9613	5.7072	5.1062
0.2502	0.2369	0.4101	0.6007	0.2928	0.3218
7.3506	7.7584	9.4292	7.8459	8.2782	7.9721
1.5385	2.0699	1.2471	0.7444	1.483	1.4356
4.0629	3.6158	3.5479	3.2314	3.707	2.985
1.3116	1.2217	1.4657	1.2961	1.3861	0.851
1.7466	1.6814	1.4969	1.3988	1.2321	1.4234
1.4953	2.0695	1.4393	1.0	1.8002	1.4553
10.5583	9.6576	10.8036	10.6754	9.0591	10.9151
11.396	16.4978	13.4003	11.5476	12.1037	9.8505
0.8253	0.4868	0.8893	0.4527	0.4619	0.7376
0.4482	1.3288	0.9947	0.5642	1.2533	0.7865
0.2533	0.7277	0.8154	1.1734	0.3632	0.3074
1.0127	1.8551	1.1893	1.2305	1.235	1.107
38.9616	41.2159	32.876	30.4821	35.0874	37.4222
1.0469	0.9508	0.4228	0.3253	0.9996	0.6234
0.531	0.0006	0.3307	0.1415	0.3853	0.1254
0.5174	0.5671	0.9402	0.3917	0.2897	0.5159
0.1892	0.0062	0.4199	0.2638	0.2026	0.3178
13.0164	37.8699	17.4762	51.0421	25.1374	36.5913
32.6019	34.5765	36.0476	28.926	35.8146	29.6583
19.2438	19.0367	17.647	16.046	15.7156	16.1924
2.9044	3.5965	3.0307	2.0502	3.167	2.0573
2.6192	2.3354	2.1022	2.3195	1.5285	2.0337
10.9462	10.725	11.5206	8.4147	8.9078	7.106
1.8488	1.8002	2.4544	1.8398	2.3045	1.9433
341.086	329.3739	329.719	314.6293	369.2909	318.3402
0.9119	0.5452	0.5501	0.4828	0.4067	0.4477
1.4862	1.2362	1.6063	1.3449	1.4216	1.3735
6.5568	7.2664	7.3504	6.208	6.6583	6.5314
1.5771	1.5696	2.0017	1.458	1.556	1.4936
5.5178	5.8141	4.4371	5.9645	5.3684	5.7441
69.6489	65.3503	63.3535	53.0779	64.2337	50.3651
18.7444	21.4018	22.1461	17.6845	34.2574	23.8605
0.4974	0.8268	1.1338	1.179	0.4901	1.0324
1.9407	1.3893	1.3427	0.831	1.3607	0.8512
14.3987	12.5999	21.0905	17.2037	11.5296	15.0354
1.4181	0.4809	0.3823	0.5404	0.6676	0.2614
49.5022	50.04	59.9719	53.1129	54.5664	50.9777
1.3576	1.7895	1.4082	1.3848	1.6037	1.2125
1.6927	1.6655	0.7957	1.0138	1.4895	0.2076
2.7234	2.9117	2.8204	2.3944	2.5712	2.7927
0.8086	0.7735	0.5239	0.5315	1.1414	0.3293
2.2446	1.8268	1.7419	1.6109	2.9476	2.7418
0.5067	0.28	0.1266	0.4273	0.2538	0.3493
25.0601	24.1547	21.7191	18.4161	28.9329	21.045
21.4548	24.4689	22.335	22.6666	27.3348	19.9553
8.8596	9.275	7.0345	5.6273	7.7429	5.6819
9.9051	10.1243	8.7897	6.5845	10.3159	6.9613
3.7675	3.8889	4.0635	4.0737	3.8554	3.6545
21.5882	24.6509	27.3866	23.5542	30.2447	24.2459
0.413	0.4265	0.4395	0.3078	0.4579	0.2947
1.6662	0.8096	0.528	0.9121	0.5699	1.0962
1.1644	1.124	1.3269	0.8051	0.6891	0.9364
0.9406	0.9482	1.3234	1.182	0.8265	0.5714
1.6837	1.2587	1.2995	1.1217	0.8941	0.8804
10.9734	10.4294	11.4333	10.5141	10.8193	12.0561
2.6968	2.7793	3.0805	2.6969	3.0198	2.5726
0.4548	0.6121	1.1171	1.1022	1.2456	0.7675
0.2571	0.4323	0.1918	0.0856	0.2844	0.0571
2.8889	2.6122	2.8484	2.7338	3.018	2.6968
0.295	0.202	0.2701	0.1897	0.2572	0.4299
5.7093	5.4086	5.951	6.0072	5.3955	5.6426
1.5358	1.8162	1.4989	0.9741	1.2222	1.133
0.3063	0.309	0.1516	0.453	0.2249	0.3262
3.9014	2.7608	4.156	3.5951	3.4196	4.1697
0.1444	0.7437	0.9702	0.4836	0.7077	0.4815
0.8979	0.5941	0.9123	-0.1091	0.5317	0.0484
6.2776	5.2624	4.9283	4.6083	5.1124	4.0715
7.7865	7.9593	8.1681	7.9827	5.6594	7.3923
110.4306	90.7942	103.3934	99.2908	105.0471	112.8791
5.9835	5.3275	5.9056	5.2329	5.9244	4.5325
0.7269	0.7744	0.5026	0.5444	0.4116	0.369
0.543	0.5595	0.7085	0.328	0.3156	0.5519
0.678	0.2832	0.5557	0.3843	0.4393	0.4195
7.0144	7.3373	6.3175	6.9382	7.5638	5.8522
143.2134	134.4597	122.1845	128.5001	133.7771	121.4834
151.3221	164.41	138.4871	133.4761	140.6001	130.793
0.6223	0.3174	0.444	0.3267	0.3064	0.3317
0.2532	0.1274	0.3065	0.2221	0.3608	0.34
1.3067	1.1953	1.6915	1.6437	1.558	0.948
0.024	0.3047	0.4912	0.0617	0.1642	0.1746
0.0924	0.3545	0.3556	0.974	0.4687	0.3632
0.4965	0.6458	0.622	0.2358	0.4854	0.3817
19.815	20.6635	17.0295	11.7979	20.931	12.2569
7.7075	6.4463	6.6716	6.342	7.7937	6.3941
6.3936	6.8525	6.5873	7.3019	6.0145	7.09
11.5344	13.2759	13.293	12.9661	13.3587	13.3865
3.5396	2.9358	3.5662	2.5039	2.8591	2.9598
10.4268	8.4524	9.2302	7.9782	8.8239	6.9659
1.8324	1.7365	2.0311	1.6031	0.9252	2.1198
0.5925	0.0952	0.3099	0.1729	0.3571	0.1811
0.3458	0.4727	0.2923	0.2206	0.1216	0.3318
2.2862	2.7581	2.2989	1.7777	2.0254	1.8922
1.993	2.1097	1.6368	1.7507	2.1356	1.8028
42.2677	40.2302	27.9299	26.411	40.378	22.3913
4.8286	5.2084	6.1956	5.3715	4.7939	4.156
9.4337	9.3696	9.6116	9.4267	9.7445	8.183
12.1535	12.9431	10.7703	11.7514	12.7687	12.1188
5.044	7.2854	4.2029	2.7697	3.6907	3.6427
0.7407	0.2173	0.4508	0.4882	0.5234	0.4305
2.1563	2.3855	2.6609	1.7359	1.6404	1.6249
4.1773	3.466	3.0785	3.4823	3.4435	3.6219
11.9788	10.3754	15.7888	13.347	15.2616	13.0778
0.228	0.4419	0.3343	0.3085	0.1194	0.1344
4.6331	4.4016	4.5366	2.8824	4.0489	2.9749
1.1712	0.5227	0.4779	0.5239	1.0843	0.7222
0.1498	0.2763	0.3264	0.3968	0.381	0.3568
21.1611	20.4855	20.1962	17.2515	19.4403	18.3905
24.6595	27.8	27.6899	26.0402	21.9906	24.3336
29.0564	28.1991	26.4248	21.3561	27.5887	21.346
1.4663	1.6402	1.4987	1.0821	1.4655	1.4408
0.1846	0.2605	0.0333	0.277	0.1866	0.112
0.2785	0.2596	0.0807	0.3693	0.0904	0.1476
8.6486	9.9218	8.786	10.4743	11.7639	9.9507
7.3434	7.5492	8.5789	7.853	9.4242	7.4896
0.3794	-0.1096	0.2418	0.3201	0.069	0.31
14.0678	17.7116	15.0107	19.1081	20.5453	22.0376
0.1947	-0.0821	0.2098	0.1183	0.2492	0.3203
0.8321	0.9867	0.9847	1.0958	1.0425	0.807
2.4435	3.9683	3.4689	3.3676	4.0555	3.0965
3.3453	3.395	3.1677	2.8469	2.4489	2.8645
0.2885	0.3832	0.4061	0.3285	0.3478	0.4597
0.4175	0.1375	0.8239	0.2647	0.5525	0.7456
35.4343	35.7501	35.0489	30.1904	37.8044	30.6553
0.7212	1.0724	1.2179	0.6166	0.6726	0.8373
0.2333	0.231	0.0738	0.1193	0.0799	0.1461
0.2641	0.6189	-0.0029	0.6247	0.1757	0.3161
